"Strain"	"Dose"	"Time"	"OD"
"aro4Δ"	0.3	10	0.010666667
"aro4Δ"	0.6	10	0.009533333
"aro4Δ"	0.9	10	0.008433333
"aro4Δ"	1.2	10	0.0071
"aro4Δ"	1.5	10	0.006033333
"WT"	0	10	0.042933333
"WT"	0.1	10	0.047466667
"WT"	0.3	10	0.057933333
"WT"	0.6	10	0.063266667
"WT"	0.9	10	0.071266667
"WT"	1.2	10	0.060133333
"WT"	1.5	10	0.0516
"aro4Δ"	0	10.5	0.025033333
"aro4Δ"	0.1	10.5	0.016633333
"aro4Δ"	0.3	10.5	0.012666667
"aro4Δ"	0.6	10.5	0.012
"aro4Δ"	0.9	10.5	0.0098
"aro4Δ"	1.2	10.5	0.008066667
"aro4Δ"	1.5	10.5	0.006633333
"WT"	0	10.5	0.052433333
"WT"	0.1	10.5	0.062566667
"WT"	0.3	10.5	0.0789
"WT"	0.6	10.5	0.083866667
"WT"	0.9	10.5	0.092733333
"WT"	1.2	10.5	0.078666667
"WT"	1.5	10.5	0.072766667
"aro4Δ"	0	11	0.030633333
"aro4Δ"	0.1	11	0.018966667
"aro4Δ"	0.3	11	0.013833333
"aro4Δ"	0.6	11	0.0128
"aro4Δ"	0.9	11	0.0114
"aro4Δ"	1.2	11	0.009133333
"aro4Δ"	1.5	11	0.007533333
"WT"	0	11	0.068866667
"WT"	0.1	11	0.079966667
"WT"	0.3	11	0.107566667
"WT"	0.6	11	0.11
"WT"	0.9	11	0.115766667
"WT"	1.2	11	0.101533333
"WT"	1.5	11	0.096966667
"aro4Δ"	0	11.5	0.038533333
"aro4Δ"	0.1	11.5	0.023333333
"aro4Δ"	0.3	11.5	0.016966667
"aro4Δ"	0.6	11.5	0.015166667
"aro4Δ"	0.9	11.5	0.012733333
"aro4Δ"	1.2	11.5	0.010566667
"aro4Δ"	1.5	11.5	0.008466667
"WT"	0	11.5	0.087133333
"WT"	0.1	11.5	0.1028
"WT"	0.3	11.5	0.1433
"WT"	0.6	11.5	0.144133333
"WT"	0.9	11.5	0.1454
"WT"	1.2	11.5	0.131666667
"WT"	1.5	11.5	0.125266667
"aro4Δ"	0	12	0.0492
"aro4Δ"	0.1	12	0.0291
"aro4Δ"	0.3	12	0.020033333
"aro4Δ"	0.6	12	0.0179
"aro4Δ"	0.9	12	0.014133333
"aro4Δ"	1.2	12	0.0127
"aro4Δ"	1.5	12	0.0101
"WT"	0	12	0.110433333
"WT"	0.1	12	0.1345
"WT"	0.3	12	0.188966667
"WT"	0.6	12	0.1844
"WT"	0.9	12	0.1847
"WT"	1.2	12	0.1723
"WT"	1.5	12	0.1623
"aro4Δ"	0	12.5	0.062866667
"aro4Δ"	0.1	12.5	0.035233333
"aro4Δ"	0.3	12.5	0.023433333
"aro4Δ"	0.6	12.5	0.0207
"aro4Δ"	0.9	12.5	0.016833333
"aro4Δ"	1.2	12.5	0.0139
"aro4Δ"	1.5	12.5	0.011233333
"WT"	0	12.5	0.136833333
"WT"	0.1	12.5	0.1739
"WT"	0.3	12.5	0.238166667
"WT"	0.6	12.5	0.233233333
"WT"	0.9	12.5	0.235
"WT"	1.2	12.5	0.220633333
"WT"	1.5	12.5	0.209533333
"aro4Δ"	0	13	0.081066667
"aro4Δ"	0.1	13	0.044066667
"aro4Δ"	0.3	13	0.0285
"aro4Δ"	0.6	13	0.0241
"aro4Δ"	0.9	13	0.019166667
"aro4Δ"	1.2	13	0.0155
"aro4Δ"	1.5	13	0.0122
"WT"	0	13	0.168866667
"WT"	0.1	13	0.214233333
"WT"	0.3	13	0.314033333
"WT"	0.6	13	0.301766667
"WT"	0.9	13	0.3062
"WT"	1.2	13	0.293366667
"WT"	1.5	13	0.275366667
"aro4Δ"	0	13.5	0.106433333
"aro4Δ"	0.1	13.5	0.055033333
"aro4Δ"	0.3	13.5	0.034666667
"aro4Δ"	0.6	13.5	0.028033333
"aro4Δ"	0.9	13.5	0.021166667
"aro4Δ"	1.2	13.5	0.018366667
"aro4Δ"	1.5	13.5	0.014566667
"WT"	0	13.5	0.204733333
"WT"	0.1	13.5	0.267066667
"WT"	0.3	13.5	0.387833333
"WT"	0.6	13.5	0.385166667
"WT"	0.9	13.5	0.3995
"WT"	1.2	13.5	0.379666667
"WT"	1.5	13.5	0.3631
"aro4Δ"	0	14	0.1367
"aro4Δ"	0.1	14	0.0677
"aro4Δ"	0.3	14	0.043166667
"aro4Δ"	0.6	14	0.033333333
"aro4Δ"	0.9	14	0.024633333
"aro4Δ"	1.2	14	0.0205
"aro4Δ"	1.5	14	0.015033333
"WT"	0	14	0.248233333
"WT"	0.1	14	0.3406
"WT"	0.3	14	0.472166667
"WT"	0.6	14	0.4791
"WT"	0.9	14	0.5144
"WT"	1.2	14	0.488766667
"WT"	1.5	14	0.459633333
"aro4Δ"	0	14.5	0.177466667
"aro4Δ"	0.1	14.5	0.083466667
"aro4Δ"	0.3	14.5	0.054033333
"aro4Δ"	0.6	14.5	0.039733333
"aro4Δ"	0.9	14.5	0.028266667
"aro4Δ"	1.2	14.5	0.0222
"aro4Δ"	1.5	14.5	0.016833333
"WT"	0	14.5	0.318766667
"WT"	0.1	14.5	0.439933333
"WT"	0.3	14.5	0.5584
"WT"	0.6	14.5	0.569833333
"WT"	0.9	14.5	0.6192
"WT"	1.2	14.5	0.5939
"WT"	1.5	14.5	0.572833333
"aro4Δ"	0	15	0.2299
"aro4Δ"	0.1	15	0.1016
"aro4Δ"	0.3	15	0.067033333
"aro4Δ"	0.6	15	0.047833333
"aro4Δ"	0.9	15	0.031666667
"aro4Δ"	1.2	15	0.0252
"aro4Δ"	1.5	15	0.019
"WT"	0	15	0.396933333
"WT"	0.1	15	0.533933333
"WT"	0.3	15	0.643733333
"WT"	0.6	15	0.653366667
"WT"	0.9	15	0.7167
"WT"	1.2	15	0.686433333
"WT"	1.5	15	0.674933333
"aro4Δ"	0	15.5	0.287466667
"aro4Δ"	0.1	15.5	0.125666667
"aro4Δ"	0.3	15.5	0.081666667
"aro4Δ"	0.6	15.5	0.058166667
"aro4Δ"	0.9	15.5	0.037766667
"aro4Δ"	1.2	15.5	0.0293
"aro4Δ"	1.5	15.5	0.022133333
"WT"	0	15.5	0.4741
"WT"	0.1	15.5	0.6181
"WT"	0.3	15.5	0.728566667
"WT"	0.6	15.5	0.739333333
"WT"	0.9	15.5	0.808033333
"WT"	1.2	15.5	0.778966667
"WT"	1.5	15.5	0.768666667
"aro4Δ"	0	16	0.3701
"aro4Δ"	0.1	16	0.1559
"aro4Δ"	0.3	16	0.097266667
"aro4Δ"	0.6	16	0.070566667
"aro4Δ"	0.9	16	0.044666667
